battery,cycle,Qd_Ah,SOH_pct,chargetime_min
data_1_cell00,70,1.0753,100.4296254786588,13.427
data_1_cell00,71,1.0764,100.5323620061642,13.342
data_1_cell00,72,1.0751,100.41094611002148,13.427
data_1_cell00,73,1.0764,100.5323620061642,13.359
data_1_cell00,74,1.0763,100.52302232184553,13.34
data_1_cell00,75,1.0763,100.52302232184553,13.342
data_1_cell00,76,1.0763,100.52302232184553,13.345
data_1_cell00,77,1.0763,100.52302232184553,13.427
data_1_cell00,78,1.0762,100.51368263752684,13.425
data_1_cell00,79,1.0762,100.51368263752684,13.427
data_1_cell00,80,1.0762,100.51368263752684,13.427
data_1_cell00,81,1.0762,100.51368263752684,13.425
data_1_cell00,82,1.0762,100.51368263752684,13.343
data_1_cell00,83,1.0762,100.51368263752684,13.357
data_1_cell00,84,1.0763,100.52302232184553,13.442
data_1_cell00,85,1.0761,100.50434295320818,13.342
data_1_cell00,86,1.0762,100.51368263752684,13.426
data_1_cell00,87,1.0761,100.50434295320818,13.424
data_1_cell00,88,1.0749,100.39226674138413,13.341
data_1_cell00,89,1.0761,100.50434295320818,13.341
data_1_cell00,90,1.076,100.49500326888952,13.342
data_1_cell00,91,1.0748,100.38292705706546,13.428
data_1_cell00,92,1.076,100.49500326888952,13.425
data_1_cell00,93,1.0759,100.48566358457084,13.341
data_1_cell00,94,1.0758,100.47632390025218,13.426
data_1_cell00,95,1.0759,100.48566358457084,13.426
data_1_cell00,96,1.0758,100.47632390025218,13.342
data_1_cell00,97,1.0759,100.48566358457084,13.341
data_1_cell00,98,1.0759,100.48566358457084,13.342
data_1_cell00,99,1.0759,100.48566358457084,13.341
data_1_cell00,100,1.0758,100.47632390025218,13.343
data_1_cell00,101,1.0758,100.47632390025218,13.342
data_1_cell00,102,1.0758,100.47632390025218,13.341
data_1_cell00,103,1.0758,100.47632390025218,13.425
data_1_cell00,104,1.0758,100.47632390025218,13.391
data_1_cell00,105,1.0759,100.48566358457084,13.358
data_1_cell00,106,1.0756,100.45764453161483,13.34
data_1_cell00,107,1.0757,100.46698421593352,13.343
data_1_cell00,108,1.0757,100.46698421593352,13.343
data_1_cell00,109,1.0757,100.46698421593352,13.427
data_1_cell00,110,1.0756,100.45764453161483,13.342
data_1_cell00,111,1.0756,100.45764453161483,13.427
data_1_cell00,112,1.0757,100.46698421593352,13.425
data_1_cell00,113,1.0756,100.45764453161483,13.344
data_1_cell00,114,1.0742,100.32688895115345,13.426
data_1_cell00,115,1.0756,100.45764453161483,13.44
data_1_cell00,116,1.0756,100.45764453161483,13.392
data_1_cell00,117,1.0755,100.44830484729614,13.442
data_1_cell00,118,1.0755,100.44830484729614,13.342
data_1_cell00,119,1.0754,100.43896516297748,13.425
data_1_cell00,120,1.0753,100.4296254786588,13.341
data_1_cell00,121,1.0752,100.42028579434015,13.427
data_1_cell00,122,1.0752,100.42028579434015,13.426
data_1_cell00,123,1.0752,100.42028579434015,13.342
data_1_cell00,124,1.0752,100.42028579434015,13.425
data_1_cell00,125,1.0752,100.42028579434015,13.342
data_1_cell00,126,1.0752,100.42028579434015,13.428
data_1_cell00,127,1.0753,100.4296254786588,13.342
data_1_cell00,128,1.0752,100.42028579434015,13.341
data_1_cell00,129,1.0751,100.41094611002148,13.342
data_1_cell00,130,1.0751,100.41094611002148,13.34
data_1_cell00,131,1.0738,100.28953021387879,13.426
data_1_cell00,132,1.0747,100.3735873727468,13.426
data_1_cell00,133,1.0744,100.3455683197908,13.425
data_1_cell00,134,1.0728,100.19613337069207,13.341
data_1_cell00,135,1.0728,100.19613337069207,13.442
data_1_cell00,136,1.0745,100.35490800410946,13.341
data_1_cell00,137,1.0733,100.24283179228541,13.357
data_1_cell00,138,1.0748,100.38292705706546,13.341
data_1_cell00,139,1.0747,100.3735873727468,13.342
data_1_cell00,140,1.071,100.028019052956,13.423
data_1_cell00,141,1.0747,100.3735873727468,13.34
data_1_cell00,142,1.0747,100.3735873727468,13.357
data_1_cell00,143,1.0747,100.3735873727468,13.358
data_1_cell00,144,1.0722,100.14009526478004,13.358
data_1_cell00,145,1.0734,100.25217147660408,13.442
data_1_cell00,146,1.0745,100.35490800410946,13.34
data_1_cell00,147,1.0744,100.3455683197908,13.341
data_1_cell00,148,1.0741,100.31754926683479,13.427
data_1_cell00,149,1.0744,100.3455683197908,13.427
data_1_cell00,150,1.0744,100.3455683197908,13.425
data_1_cell00,151,1.0744,100.3455683197908,13.443
data_1_cell00,152,1.0743,100.33622863547214,13.359
data_1_cell00,153,1.0742,100.32688895115345,13.461
data_1_cell00,154,1.074,100.30820958251611,13.425
data_1_cell00,155,1.0732,100.23349210796675,13.343
data_1_cell00,156,1.0737,100.28019052956012,13.342
data_1_cell00,157,1.0738,100.28953021387879,13.34
data_1_cell00,158,1.0739,100.29886989819745,13.425
data_1_cell00,159,1.0743,100.33622863547214,13.391
data_1_cell00,160,1.073,100.21481273932942,13.392
data_1_cell00,161,1.0731,100.22415242364808,13.508
data_1_cell00,162,1.0716,100.08405715886803,13.427
data_1_cell00,163,1.0714,100.06537779023068,13.341
data_1_cell00,164,1.0687,99.81320631362661,13.39
data_1_cell00,165,1.0677,99.71980947043991,13.443
data_1_cell00,166,1.0725,100.16811431773607,13.442
data_1_cell00,167,1.0736,100.27085084524143,13.342
data_1_cell00,168,1.073,100.21481273932942,13.341
data_1_cell00,169,1.0738,100.28953021387879,13.357
data_1_cell00,170,1.0739,100.29886989819745,13.426
data_1_cell00,171,1.0715,100.07471747454935,13.442
data_1_cell00,172,1.0714,100.06537779023068,13.424
data_1_cell00,173,1.07,99.93462220976932,13.426
data_1_cell00,174,1.0639,99.36490146633045,13.341
data_1_cell00,175,1.0678,99.72914915475857,13.425
data_1_cell00,176,1.0716,100.08405715886803,13.357
data_1_cell00,177,1.0691,99.85056505090128,13.423
data_1_cell00,178,1.0715,100.07471747454935,13.34
data_1_cell00,179,1.0702,99.95330157840665,13.425
data_1_cell00,180,1.0715,100.07471747454935,13.376
data_1_cell00,181,1.0738,100.28953021387879,13.426
data_1_cell00,182,1.0735,100.26151116092275,13.341
data_1_cell00,183,1.0734,100.25217147660408,13.375
data_1_cell00,184,1.0733,100.24283179228541,13.427
data_1_cell00,185,1.0733,100.24283179228541,13.391
data_1_cell00,186,1.0731,100.22415242364808,13.426
data_1_cell00,187,1.0729,100.20547305501073,13.341
data_1_cell00,188,1.0719,100.11207621182405,13.426
data_1_cell00,189,1.0716,100.08405715886803,13.46
data_1_cell00,190,1.0725,100.16811431773607,13.341
data_1_cell00,191,1.0729,100.20547305501073,13.342
data_1_cell00,192,1.0731,100.22415242364808,13.425
data_1_cell00,193,1.0696,99.89726347249464,13.46
data_1_cell00,194,1.0709,100.01867936863734,13.461
data_1_cell00,195,1.0647,99.4396189408798,13.427
data_1_cell00,196,1.0672,99.67311104884654,13.426
data_1_cell00,197,1.0693,99.86924441953862,13.342
data_1_cell00,198,1.0644,99.4115998879238,13.356
data_1_cell00,199,1.0692,99.85990473521994,13.344
data_1_cell00,200,1.073,100.21481273932942,13.375
data_1_cell00,201,1.072,100.12141589614272,13.343
data_1_cell00,202,1.0735,100.26151116092275,13.442
data_1_cell00,203,1.0711,100.03735873727469,13.341
data_1_cell00,204,1.0728,100.19613337069207,13.426
data_1_cell00,205,1.0686,99.80386662930793,13.425
data_1_cell00,206,1.0723,100.14943494909872,13.34
data_1_cell00,207,1.0722,100.14009526478004,13.424
data_1_cell00,208,1.0731,100.22415242364808,13.424
data_1_cell00,209,1.0729,100.20547305501073,13.34
data_1_cell00,210,1.0728,100.19613337069207,13.341
data_1_cell00,211,1.0728,100.19613337069207,13.426
data_1_cell00,212,1.0728,100.19613337069207,13.428
data_1_cell00,213,1.0727,100.18679368637339,13.426
data_1_cell00,214,1.0726,100.17745400205473,13.429
data_1_cell00,215,1.0715,100.07471747454935,13.392
data_1_cell00,216,1.0725,100.16811431773607,13.444
data_1_cell00,217,1.0723,100.14943494909872,13.459
data_1_cell00,218,1.0722,100.14009526478004,13.475
data_1_cell00,219,1.0703,99.96264126272533,13.341
data_1_cell00,220,1.0709,100.01867936863734,13.342
data_1_cell00,221,1.0718,100.10273652750539,13.39
data_1_cell00,222,1.0721,100.13075558046138,13.341
data_1_cell00,223,1.0727,100.18679368637339,13.46
data_1_cell00,224,1.0687,99.81320631362661,13.341
data_1_cell00,225,1.0687,99.81320631362661,13.341
data_1_cell00,226,1.0661,99.5703745213412,13.427
data_1_cell00,227,1.0659,99.55169515270384,13.357
data_1_cell00,228,1.0679,99.73848883907725,13.341
data_1_cell00,229,1.0685,99.79452694498926,13.442
data_1_cell00,230,1.0715,100.07471747454935,13.341
data_1_cell00,231,1.0725,100.16811431773607,13.423
data_1_cell00,232,1.0724,100.15877463341741,13.459
data_1_cell00,233,1.0723,100.14943494909872,13.359
data_1_cell00,234,1.0723,100.14943494909872,13.46
data_1_cell00,235,1.066,99.5610348370225,13.427
data_1_cell00,236,1.0708,100.00933968431866,13.424
data_1_cell00,237,1.0695,99.88792378817595,13.425
data_1_cell00,238,1.0634,99.31820304473707,13.342
data_1_cell00,239,1.0694,99.87858410385728,13.426
data_1_cell00,240,1.0682,99.76650789203325,13.425
data_1_cell00,241,1.0705,99.98132063136266,13.359
data_1_cell00,242,1.0715,100.07471747454935,13.442
data_1_cell00,243,1.0711,100.03735873727469,13.477
data_1_cell00,244,1.0713,100.05603810591201,13.51
data_1_cell00,245,1.0713,100.05603810591201,13.427
data_1_cell00,246,1.0714,100.06537779023068,13.342
data_1_cell00,247,1.0714,100.06537779023068,13.358
data_1_cell00,248,1.0717,100.09339684318672,13.408
data_1_cell00,249,1.0712,100.04669842159335,13.357
data_1_cell00,250,1.0692,99.85990473521994,13.357
data_1_cell00,251,1.0695,99.88792378817595,13.358
data_1_cell00,252,1.0713,100.05603810591201,13.375
data_1_cell00,253,1.0666,99.61707294293453,13.442
data_1_cell00,254,1.0717,100.09339684318672,13.493
data_1_cell00,255,1.0681,99.75716820771459,13.492
data_1_cell00,256,1.0522,98.27215840104606,13.357
data_1_cell00,257,1.0594,98.94461567199028,13.341
data_1_cell00,258,1.0627,99.25282525450639,13.341
data_1_cell00,259,1.0652,99.48631736247314,13.392
data_1_cell00,260,1.0676,99.71046978612124,13.425
data_1_cell00,261,1.0713,100.05603810591201,13.358
data_1_cell00,262,1.0707,100.0,13.393
data_1_cell00,263,1.0704,99.97198094704399,13.426
data_1_cell00,264,1.0699,99.92528252545064,13.34
data_1_cell00,265,1.0675,99.70113010180255,13.425
data_1_cell00,266,1.0679,99.73848883907725,13.426
data_1_cell00,267,1.071,100.028019052956,13.341
data_1_cell00,268,1.071,100.028019052956,13.424
data_1_cell00,269,1.0709,100.01867936863734,13.441
data_1_cell00,270,1.0708,100.00933968431866,13.425
data_1_cell00,271,1.0697,99.90660315681332,13.425
data_1_cell00,272,1.0705,99.98132063136266,13.425
data_1_cell00,273,1.0708,100.00933968431866,13.492
data_1_cell00,274,1.0707,100.0,13.39
data_1_cell00,275,1.0706,99.99066031568134,13.341
data_1_cell00,276,1.0701,99.94396189408799,13.425
data_1_cell00,277,1.0703,99.96264126272533,13.374
data_1_cell00,278,1.0699,99.92528252545064,13.462
data_1_cell00,279,1.0699,99.92528252545064,13.36
data_1_cell00,280,1.0692,99.85990473521994,13.46
data_1_cell00,281,1.0666,99.61707294293453,13.491
data_1_cell00,282,1.0663,99.58905388997852,13.425
data_1_cell00,283,1.0651,99.47697767815448,13.444
data_1_cell00,284,1.0691,99.85056505090128,13.374
data_1_cell00,285,1.0685,99.79452694498926,13.509
data_1_cell00,286,1.0709,100.01867936863734,13.391
data_1_cell00,287,1.069,99.8412253665826,13.425
data_1_cell00,288,1.0696,99.89726347249464,13.442
data_1_cell00,289,1.0698,99.91594284113198,13.341
data_1_cell00,290,1.0701,99.94396189408799,13.358
data_1_cell00,291,1.07,99.93462220976932,13.475
data_1_cell00,292,1.0698,99.91594284113198,13.425
data_1_cell00,293,1.0646,99.43027925656112,13.425
data_1_cell00,294,1.0677,99.71980947043991,13.34
data_1_cell00,295,1.067,99.65443168020921,13.426
data_1_cell00,296,1.07,99.93462220976932,13.441
data_1_cell00,297,1.0698,99.91594284113198,13.426
data_1_cell00,298,1.0697,99.90660315681332,13.425
data_1_cell00,299,1.0696,99.89726347249464,13.36
data_1_cell00,300,1.0699,99.92528252545064,13.477
data_1_cell00,301,1.0699,99.92528252545064,13.458
data_1_cell00,302,1.0691,99.85056505090128,13.38
data_1_cell00,303,1.0667,99.6264126272532,13.442
data_1_cell00,304,1.0689,99.83188568226393,13.343
data_1_cell00,305,1.0691,99.85056505090128,13.341
data_1_cell00,306,1.0692,99.85990473521994,13.343
data_1_cell00,307,1.0696,99.89726347249464,13.359
data_1_cell00,308,1.0697,99.90660315681332,13.378
data_1_cell00,309,1.0684,99.7851872606706,13.374
data_1_cell00,310,1.0693,99.86924441953862,13.432
data_1_cell00,311,1.0629,99.27150462314374,13.442
data_1_cell00,312,1.0647,99.4396189408798,13.475
data_1_cell00,313,1.0649,99.45829830951713,13.427
data_1_cell00,314,1.069,99.8412253665826,13.341
data_1_cell00,315,1.0685,99.79452694498926,13.358
data_1_cell00,316,1.0693,99.86924441953862,13.341
data_1_cell00,317,1.0693,99.86924441953862,13.34
data_1_cell00,318,1.0693,99.86924441953862,13.341
data_1_cell00,319,1.0694,99.87858410385728,13.34
data_1_cell00,320,1.068,99.74782852339592,13.341
data_1_cell00,321,1.0676,99.71046978612124,13.426
data_1_cell00,322,1.0674,99.69179041748389,13.426
data_1_cell00,323,1.0662,99.57971420565985,13.34
data_1_cell00,324,1.067,99.65443168020921,13.427
data_1_cell00,325,1.0686,99.80386662930793,13.443
data_1_cell00,326,1.068,99.74782852339592,13.427
data_1_cell00,327,1.0685,99.79452694498926,13.475
data_1_cell00,328,1.0673,99.68245073316521,13.34
data_1_cell00,329,1.0671,99.66377136452788,13.342
data_1_cell00,330,1.0669,99.64509199589054,13.443
data_1_cell00,331,1.0645,99.42093957224246,13.461
data_1_cell00,332,1.0644,99.4115998879238,13.425
data_1_cell00,333,1.0695,99.88792378817595,13.342
data_1_cell00,334,1.0688,99.82254599794527,13.36
data_1_cell00,335,1.0703,99.96264126272533,13.374
data_1_cell00,336,1.0703,99.96264126272533,13.376
data_1_cell00,337,1.0703,99.96264126272533,13.357
data_1_cell00,338,1.07,99.93462220976932,13.391
data_1_cell00,339,1.067,99.65443168020921,13.375
data_1_cell00,340,1.0679,99.73848883907725,13.376
data_1_cell00,341,1.0696,99.89726347249464,13.392
data_1_cell00,342,1.0675,99.70113010180255,13.393
data_1_cell00,343,1.0674,99.69179041748389,13.425
data_1_cell00,344,1.0678,99.72914915475857,13.443
data_1_cell00,345,1.0691,99.85056505090128,13.426
data_1_cell00,346,1.0691,99.85056505090128,13.342
data_1_cell00,347,1.069,99.8412253665826,13.341
data_1_cell00,348,1.0677,99.71980947043991,13.425
data_1_cell00,349,1.0654,99.50499673111048,13.442
data_1_cell00,350,1.0667,99.6264126272532,13.389
data_1_cell00,351,1.0652,99.48631736247314,13.477
data_1_cell00,352,1.0673,99.68245073316521,13.426
data_1_cell00,353,1.0683,99.77584757635192,13.443
data_1_cell00,354,1.069,99.8412253665826,13.341
data_1_cell00,355,1.0677,99.71980947043991,13.426
data_1_cell00,356,1.0607,99.066031568133,13.443
data_1_cell00,357,1.0675,99.70113010180255,13.474
data_1_cell00,358,1.0651,99.47697767815448,13.478
data_1_cell00,359,1.065,99.4676379938358,13.343
data_1_cell00,360,1.0679,99.73848883907725,13.392
data_1_cell00,361,1.0684,99.7851872606706,13.443
data_1_cell00,362,1.0682,99.76650789203325,13.425
data_1_cell00,363,1.0688,99.82254599794527,13.426
data_1_cell00,364,1.0692,99.85990473521994,13.46
data_1_cell00,365,1.0692,99.85990473521994,13.426
data_1_cell00,366,1.0689,99.83188568226393,13.376
data_1_cell00,367,1.0687,99.81320631362661,13.458
data_1_cell00,368,1.0686,99.80386662930793,13.457
data_1_cell00,369,1.0645,99.42093957224246,13.492
data_1_cell00,370,1.0677,99.71980947043991,13.428
data_1_cell00,371,1.0676,99.71046978612124,13.344
data_1_cell00,372,1.0676,99.71046978612124,13.36
data_1_cell00,373,1.0676,99.71046978612124,13.344
data_1_cell00,374,1.068,99.74782852339592,13.425
data_1_cell00,375,1.0655,99.51433641542916,13.426
data_1_cell00,376,1.0653,99.4956570467918,13.343
data_1_cell00,377,1.0629,99.27150462314374,13.424
data_1_cell00,378,1.0595,98.95395535630897,13.34
data_1_cell00,379,1.0654,99.50499673111048,13.342
data_1_cell00,380,1.0681,99.75716820771459,13.374
data_1_cell00,381,1.068,99.74782852339592,13.354
data_1_cell00,382,1.0679,99.73848883907725,13.458
data_1_cell00,383,1.0673,99.68245073316521,13.592
data_1_cell00,384,1.0674,99.69179041748389,13.391
data_1_cell00,385,1.0676,99.71046978612124,13.512
data_1_cell00,386,1.0682,99.76650789203325,13.674
data_1_cell00,387,1.0668,99.63575231157186,13.407
data_1_cell00,388,1.0499,98.05734566171664,13.474
data_1_cell00,389,1.0488,97.95460913421125,13.443
data_1_cell00,390,1.041,97.226113757355,13.344
data_1_cell00,391,1.0547,98.5056505090128,13.509
data_1_cell00,392,1.0663,99.58905388997852,13.341
data_1_cell00,393,1.0637,99.3462220976931,13.342
data_1_cell00,394,1.0661,99.5703745213412,13.426
data_1_cell00,395,1.0674,99.69179041748389,13.378
data_1_cell00,396,1.0633,99.30886336041841,13.493
data_1_cell00,397,1.0647,99.4396189408798,13.424
data_1_cell00,398,1.0652,99.48631736247314,13.558
data_1_cell00,399,1.0637,99.3462220976931,13.476
data_1_cell00,400,1.0659,99.55169515270384,13.357
data_1_cell00,401,1.062,99.1874474642757,13.357
data_1_cell00,402,1.0595,98.95395535630897,13.461
data_1_cell00,403,1.0581,98.82319977584758,13.459
data_1_cell00,404,1.045,97.5997011301018,13.343
data_1_cell00,405,1.0609,99.08471093677034,13.428
data_1_cell00,406,1.0548,98.51499019333147,13.426
data_1_cell00,407,1.0427,97.38488839077239,13.428
data_1_cell00,408,1.067,99.65443168020921,13.341
data_1_cell00,409,1.0657,99.5330157840665,13.344
data_1_cell00,410,1.0657,99.5330157840665,13.528
data_1_cell00,411,1.0665,99.60773325861587,13.525
data_1_cell00,412,1.0629,99.27150462314374,13.374
data_1_cell00,413,1.0556,98.58970766788083,13.341
data_1_cell00,414,1.067,99.65443168020921,13.394
data_1_cell00,415,1.0646,99.43027925656112,13.352
data_1_cell00,416,1.044,97.5063042869151,13.504
data_1_cell00,417,1.056,98.62706640515552,13.343
data_1_cell00,418,1.0669,99.64509199589054,13.342
data_1_cell00,419,1.0663,99.58905388997852,13.341
data_1_cell00,420,1.0668,99.63575231157186,13.341
data_1_cell00,421,1.0661,99.5703745213412,13.342
data_1_cell00,422,1.0638,99.35556178201178,13.426
data_1_cell00,423,1.0638,99.35556178201178,13.341
data_1_cell00,424,1.0649,99.45829830951713,13.425
data_1_cell00,425,1.0635,99.32754272905575,13.345
data_1_cell00,426,1.0646,99.43027925656112,13.358
data_1_cell00,427,1.0514,98.19744092649667,13.342
data_1_cell00,428,1.0622,99.20612683291306,13.341
data_1_cell00,429,1.0549,98.52432987765013,13.389
data_1_cell00,430,1.0561,98.63640608947418,13.425
data_1_cell00,431,1.0549,98.52432987765013,13.34
data_1_cell00,432,1.0401,97.14205659848697,13.34
data_1_cell00,433,1.056,98.62706640515552,13.339
data_1_cell00,434,1.0644,99.4115998879238,13.425
data_1_cell00,435,1.0631,99.29018399178108,13.425
data_1_cell00,436,1.0644,99.4115998879238,13.425
data_1_cell00,437,1.0653,99.4956570467918,13.342
data_1_cell00,438,1.0606,99.05669188381432,13.426
data_1_cell00,439,1.0619,99.17810777995705,13.426
data_1_cell00,440,1.0604,99.03801251517699,13.341
data_1_cell00,441,1.0625,99.23414588586907,13.426
data_1_cell00,442,1.0639,99.36490146633045,13.358
data_1_cell00,443,1.0656,99.52367609974783,13.742
data_1_cell00,444,1.066,99.5610348370225,13.525
data_1_cell00,445,1.0644,99.4115998879238,13.426
data_1_cell00,446,1.0592,98.92593630335294,13.341
data_1_cell00,447,1.0643,99.40226020360512,13.358
data_1_cell00,448,1.0653,99.4956570467918,13.358
data_1_cell00,449,1.0653,99.4956570467918,13.476
data_1_cell00,450,1.0652,99.48631736247314,13.459
data_1_cell00,451,1.0648,99.44895862519847,13.425
data_1_cell00,452,1.0647,99.4396189408798,13.341
data_1_cell00,453,1.0647,99.4396189408798,13.558
data_1_cell00,454,1.0632,99.29952367609974,13.542
data_1_cell00,455,1.0548,98.51499019333147,13.491
data_1_cell00,456,1.0633,99.30886336041841,13.374
data_1_cell00,457,1.064,99.37424115064911,13.442
data_1_cell00,458,1.0608,99.07537125245166,13.658
data_1_cell00,459,1.061,99.094050621089,13.441
data_1_cell00,460,1.0645,99.42093957224246,13.425
data_1_cell00,461,1.0599,98.99131409358365,13.426
data_1_cell00,462,1.0633,99.30886336041841,13.441
data_1_cell00,463,1.062,99.1874474642757,13.408
data_1_cell00,464,1.0604,99.03801251517699,13.425
data_1_cell00,465,1.0633,99.30886336041841,13.427
data_1_cell00,466,1.0594,98.94461567199028,13.426
data_1_cell00,467,1.0635,99.32754272905575,13.474
data_1_cell00,468,1.0601,99.00999346222098,13.591
data_1_cell00,469,1.0578,98.79518072289157,13.509
data_1_cell00,470,1.0612,99.11272998972635,13.425
data_1_cell00,471,1.0416,97.28215186326703,13.339
data_1_cell00,472,1.0613,99.12206967404501,13.341
data_1_cell00,473,1.0647,99.4396189408798,13.425
data_1_cell00,474,1.0647,99.4396189408798,13.36
data_1_cell00,475,1.0642,99.39292051928645,13.426
data_1_cell00,476,1.0642,99.39292051928645,13.402
data_1_cell00,477,1.0633,99.30886336041841,13.343
data_1_cell00,478,1.064,99.37424115064911,13.426
data_1_cell00,479,1.0566,98.68310451106753,13.427
data_1_cell00,480,1.0507,98.13206313626598,13.509
data_1_cell00,481,1.0581,98.82319977584758,13.576
data_1_cell00,482,1.0576,98.77650135425424,13.499
data_1_cell00,483,1.0566,98.68310451106753,13.425
data_1_cell00,484,1.0613,99.12206967404501,13.391
data_1_cell00,485,1.0517,98.2254599794527,13.525
data_1_cell00,486,1.0553,98.5616886149248,13.526
data_1_cell00,487,1.0627,99.25282525450639,13.591
data_1_cell00,488,1.0611,99.10339030540767,13.576
data_1_cell00,489,1.0612,99.11272998972635,13.477
data_1_cell00,490,1.0624,99.2248062015504,13.409
data_1_cell00,491,1.0624,99.2248062015504,13.508
data_1_cell00,492,1.0626,99.24348557018773,13.558
data_1_cell00,493,1.0624,99.2248062015504,13.592
data_1_cell00,494,1.0621,99.19678714859438,13.358
data_1_cell00,495,1.0594,98.94461567199028,13.508
data_1_cell00,496,1.0596,98.96329504062764,13.659
data_1_cell00,497,1.0625,99.23414588586907,13.493
data_1_cell00,498,1.0626,99.24348557018773,13.342
data_1_cell00,499,1.0614,99.13140935836367,13.426
data_1_cell00,500,1.0621,99.19678714859438,13.376
data_1_cell00,501,1.061,99.094050621089,13.342
data_1_cell00,502,1.0578,98.79518072289157,13.425
data_1_cell00,503,1.0604,99.03801251517699,13.426
data_1_cell00,504,1.0616,99.15008872700103,13.359
data_1_cell00,505,1.0618,99.16876809563837,13.375
data_1_cell00,506,1.062,99.1874474642757,13.609
data_1_cell00,507,1.058,98.81386009152891,13.575
data_1_cell00,508,1.0529,98.33753619127673,13.508
data_1_cell00,509,1.0519,98.24413934809004,13.523
data_1_cell00,510,1.0547,98.5056505090128,13.595
data_1_cell00,511,1.0374,96.88988512188288,13.576
data_1_cell00,512,1.0545,98.48697114037546,13.441
data_1_cell00,513,1.0617,99.15942841131971,13.592
data_1_cell00,514,1.0612,99.11272998972635,13.542
data_1_cell00,515,1.0568,98.70178387970486,13.475
data_1_cell00,516,1.0586,98.86989819744093,13.376
data_1_cell00,517,1.0588,98.88857756607827,13.442
data_1_cell00,518,1.0565,98.67376482674885,13.525
data_1_cell00,519,1.0601,99.00999346222098,13.508
