battery,batch,policy,protocol,C1_C,Q1_pct,C2_C,cycle_life,n_cycles,Qinit_Ah,avg_chargetime_min,first_chargetime_min,min_SOH_pct
data_3_cell09,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,1038,1037,1.0695,10.204,10.042,82.29
data_3_cell10,data_3,4.8C(80%)-4.8C-newstructure,newstructure,4.8,80.0,4.8,1077,1076,1.0618,11.211,11.038,82.94
data_3_cell11,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,816,815,1.0681,10.296,10.041,82.5
data_3_cell12,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,931,930,1.0742,10.255,10.044,82.0
data_3_cell13,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,815,814,1.0656,10.288,10.042,82.61
data_3_cell14,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,857,856,1.0727,10.249,10.042,82.1
data_3_cell15,data_3,5.9C(15%)-4.6C-newstructure,newstructure,5.9,15.0,4.6,875,874,1.0684,10.318,10.042,82.42
data_3_cell16,data_3,4.8C(80%)-4.8C-newstructure,newstructure,4.8,80.0,4.8,1637,1636,1.061,11.142,11.055,82.95
data_3_cell17,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,1314,1313,1.0665,10.157,10.042,82.56
data_3_cell18,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,1145,1144,1.068,10.22,10.044,82.4
data_3_cell19,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,1154,1153,1.0719,10.206,10.043,82.1
data_3_cell20,data_3,5C(67%)-4C-newstructure,newstructure,5.0,67.0,4.0,812,811,1.0651,10.185,10.043,82.68
data_3_cell21,data_3,3.7C(31%)-5.9C-newstructure,newstructure,3.7,31.0,5.9,771,770,1.0679,10.804,10.072,82.43
data_3_cell22,data_3,5.9C(60%)-3.1C-newstructure,newstructure,5.9,60.0,3.1,1001,1000,1.0563,10.137,10.044,83.4
data_3_cell24,data_3,5C(67%)-4C-newstructure,newstructure,5.0,67.0,4.0,824,823,1.0463,10.165,10.042,84.13
data_3_cell25,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,988,987,1.0611,10.152,10.043,83.09
data_3_cell26,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,1027,1026,1.072,10.246,10.041,82.11
data_3_cell27,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,849,848,1.0604,10.218,10.046,82.99
data_3_cell28,data_3,3.7C(31%)-5.9C-newstructure,newstructure,3.7,31.0,5.9,540,539,1.0519,10.902,10.06,83.67
data_3_cell29,data_3,5.9C(15%)-4.6C-newstructure,newstructure,5.9,15.0,4.6,857,856,1.0664,10.264,10.041,82.53
data_3_cell30,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,934,933,1.0687,10.172,10.043,82.36
data_3_cell31,data_3,5.9C(60%)-3.1C-newstructure,newstructure,5.9,60.0,3.1,730,729,1.0682,10.177,10.045,82.41
data_3_cell33,data_3,5C(67%)-4C-newstructure,newstructure,5.0,67.0,4.0,1283,1282,1.0603,10.114,10.044,83.07
data_3_cell34,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,1157,1156,1.0615,10.141,10.045,82.92
data_3_cell35,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,1092,1091,1.0634,10.226,10.044,82.77
data_3_cell36,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,922,921,1.0575,10.194,10.043,83.27
data_3_cell38,data_3,5C(67%)-4C-newstructure,newstructure,5.0,67.0,4.0,1934,1933,1.0701,10.127,10.049,82.23
data_3_cell39,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,1155,1154,1.0474,10.114,10.044,84.06
data_3_cell40,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,795,794,1.0593,10.276,10.044,83.14
data_3_cell41,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,785,784,1.0505,10.245,10.043,83.83
data_3_cell44,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,939,938,1.0697,10.164,10.043,82.31
data_3_cell45,data_3,4.8C(80%)-4.8C-newstructure,newstructure,4.8,80.0,4.8,1800,1799,1.0695,11.147,11.04,82.32
