batch,battery_idx,barcode,cycle_life,policy_str,C1,Q1,C2,avg_chargetime,Q_initial
batch1,30,3707764736_2_1_1_31_1,709,6C(50%)-3.6C,6.0,50.0,3.6,10.434776494578024,1.0821818
batch1,31,3707764736_2_1_1_32_1,876,6C(50%)-3.6C,6.0,50.0,3.6,10.427350503432491,1.0971971
batch1,32,3707764736_2_1_1_33_1,731,6C(60%)-3C,6.0,60.0,3.0,10.751449652491997,1.0801555
batch1,33,3707764736_2_1_1_34_1,757,6C(60%)-3C,6.0,60.0,3.0,10.82703081015453,1.0951551
batch1,34,3707764736_2_1_1_35_1,742,7C(30%)-3.6C,7.0,30.0,3.6,11.321484301801807,1.0785322
batch1,35,3707764736_2_1_1_36_1,703,7C(30%)-3.6C,7.0,30.0,3.6,11.454374719448406,1.073244
batch1,36,3707764736_2_1_1_37_1,704,7C(40%)-3C,7.0,40.0,3.0,12.032767440645781,1.0804976
batch1,37,3707764736_2_1_1_38_1,648,7C(40%)-3C,7.0,40.0,3.0,12.011764148606819,1.0771673
batch1,38,3707764736_2_1_1_39_1,617,7C(40%)-3.6C,7.0,40.0,3.6,10.680493582655833,1.0748016
batch1,39,3707764736_2_1_1_40_1,625,7C(40%)-3.6C,7.0,40.0,3.6,10.809719082397008,1.084457
batch1,40,3707764736_2_1_1_41_1,966,8C(15%)-3.6C,8.0,15.0,3.6,12.320538381742727,1.086074
batch1,41,3707764736_2_1_1_42_1,1051,8C(15%)-3.6C,8.0,15.0,3.6,12.584107470606918,1.0817143
batch1,42,3707764736_2_1_1_43_1,702,8C(25%)-3.6C,8.0,25.0,3.6,11.713825638095244,1.0826759
batch1,43,3707764736_2_1_1_44_1,651,8C(25%)-3.6C,8.0,25.0,3.6,11.604179658448894,1.0705794
batch1,44,3707764736_2_1_1_45_1,616,8C(35%)-3.6C,8.0,35.0,3.6,11.48942802117265,1.0872587
batch1,45,3707764736_2_1_1_46_1,599,8C(35%)-3.6C,8.0,35.0,3.6,11.277119676158563,1.0863998
batch2,46,3707764736_2_1_1_1_1,300,1C(4%)-6C,1.0,4.0,6.0,12.744595644171786,1.072965
batch2,47,3707764736_2_1_1_2_1,148,2C(10%)-6C,2.0,10.0,6.0,12.518202392156882,1.0736164
batch2,48,3707764736_2_1_1_3_1,438,2C(2%)-5C,2.0,2.0,5.0,12.49014010057472,1.0763675
batch2,49,3707764736_2_1_1_4_1,335,2C(7%)-5.5C,2.0,7.0,5.5,12.201032982456129,1.0685339
batch2,50,3707764736_2_1_1_5_1,444,3.6C(22%)-5.5C,3.6,22.0,5.5,11.676122176220812,1.0752395
batch2,51,3707764736_2_1_1_6_1,480,3.6C(2%)-4.85C,3.6,2.0,4.85,12.27066251808023,1.0705818
batch2,52,3707764736_2_1_1_7_1,511,3.6C(30%)-6C,3.6,30.0,6.0,11.946970354740055,1.0713428
batch2,56,3707764736_2_1_1_11_1,561,3.6C(9%)-5C,3.6,9.0,5.0,11.353615436241615,1.0720686
batch2,57,3707764736_2_1_1_12_1,477,4C(13%)-5C,4.0,13.0,5.0,11.455135531353127,1.0743829
batch2,58,3707764736_2_1_1_13_1,458,4C(31%)-5,4.0,31.0,5.0,12.737205926680238,1.0736918
batch2,59,3707764736_2_1_1_14_1,483,4C(40%)-6C,4.0,40.0,6.0,12.096888314102573,1.0827806
batch2,60,3707764736_2_1_1_15_1,485,4C(4%)-4.85C,4.0,4.0,4.85,11.239950307793068,1.0808921
batch2,63,3707764736_2_1_1_18_1,494,4.4C(24%)-5C,4.4,24.0,5.0,11.551742853968266,1.0722336
batch2,64,3707764736_2_1_1_19_1,487,4.4C(47%)-5.5C,4.4,47.0,5.5,11.872641172721483,1.066077
batch2,65,3707764736_2_1_1_20_1,461,4.4C(55%)-6C,4.4,55.0,6.0,11.89524962508522,1.0496798
batch2,66,3707764736_2_1_1_21_1,502,4.4C(8%)-4.85C,4.4,8.0,4.85,11.33199335216573,1.0864058
batch2,67,3707764736_2_1_1_22_1,489,4.65C(19%)-4.85C,4.65,19.0,4.85,11.47239141987178,1.0800804
batch2,68,3707764736_2_1_1_23_1,513,4.65C(44%)-5C,4.65,44.0,5.0,11.437275709876552,1.0828061
batch2,69,3707764736_2_1_1_24_1,527,4.65C(69%)-6C,4.65,69.0,6.0,12.589009237841038,1.0771495
batch2,70,3707764736_2_1_1_25_1,495,4.8C(80%)-4.8C,4.8,80.0,4.8,12.923147808524172,1.0712154
batch2,71,3707764736_2_1_1_26_1,461,4.8C(80%)-4.8C,4.8,80.0,4.8,13.240922922655722,1.0698761
batch2,72,3707764736_2_1_1_27_1,471,4.8C(80%)-4.8C,4.8,80.0,4.8,13.145215786479252,1.079951
batch2,73,3707764736_2_1_1_28_1,468,4.9C(27%)-4.75C,4.9,27.0,4.75,11.347113383838407,1.0684859
batch2,74,3707764736_2_1_1_29_1,509,4.9C(61%)-4.5C,4.9,61.0,4.5,11.204320003080708,1.074313
batch2,75,3707764736_2_1_1_30_1,498,4.9C(69%)-4.25C,4.9,69.0,4.25,11.165909888250306,1.0746225
batch2,76,3707764736_2_1_1_31_1,481,5.2C(10%)-4.75C,5.2,10.0,4.75,11.234959188034182,1.0696967
batch2,77,3707764736_2_1_1_32_1,492,5.2C(37%)-4.5C,5.2,37.0,4.5,11.087199675658322,1.0765644
batch2,78,3707764736_2_1_1_33_1,519,5.2C(50%)-4.25C,5.2,50.0,4.25,11.041862643995092,1.0773442
batch2,79,3707764736_2_1_1_34_1,520,5.2C(58%)-4C,5.2,58.0,4.0,11.093188641636132,1.0819733
batch2,80,3707764736_2_1_1_35_1,499,5.2C(66%)-3.5C,5.2,66.0,3.5,11.018007911913807,1.072331
batch2,81,3707764736_2_1_1_36_1,463,5.2C(71%)-3C,5.2,71.0,3.0,11.105254125514408,1.0717659
batch2,82,3707764736_2_1_1_37_1,535,5.6C(25%)-4.5C,5.6,25.0,4.5,11.273373002976191,1.0818433
batch2,83,3707764736_2_1_1_38_1,478,5.6C(38%)-4.25C,5.6,38.0,4.25,11.177204541832664,1.0771992
batch2,84,3707764736_2_1_1_39_1,465,5.6C(47%)-4C,5.6,47.0,4.0,11.029535811088294,1.0726807
batch2,85,3707764736_2_1_1_40_1,459,5.6C(58%)-3.5C,5.6,58.0,3.5,12.02971179166666,1.0821269
batch2,86,3707764736_2_1_1_41_1,499,5.6C(5%)-4.75C,5.6,5.0,4.75,11.31858022955977,1.0799356
batch2,87,3707764736_2_1_1_42_1,429,5.6C(65%)-3C,5.6,65.0,3.0,12.131088679941007,1.0715803
batch2,88,3707764736_2_1_1_43_1,466,6C(20%)-4.5C,6.0,20.0,4.5,11.258462787940369,1.0810982
batch2,89,3707764736_2_1_1_44_1,462,6C(31%)-4.25C,6.0,31.0,4.25,11.236314308692668,1.076982
batch2,90,3707764736_2_1_1_45_1,457,6C(40%)-4C,6.0,40.0,4.0,12.10425552887961,1.0738072
batch2,91,3707764736_2_1_1_46_1,487,6C(4%)-4.75C,6.0,4.0,4.75,11.225240564202338,1.0732507
batch2,92,3707764736_2_1_1_47_1,429,6C(52%)-3.5C,6.0,52.0,3.5,10.996223195991092,1.0759063
batch2,93,3707764736_2_1_1_48_1,713,6C(60%)-3C,6.0,60.0,3.0,10.811662067114101,1.0461055
batch3,94,3707764736_2_1_1_1_1,1009,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.15543666335973,1.0690936
batch3,95,3707764736_2_1_1_2_1,1063,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.142998912429425,1.0672238
batch3,96,3707764736_2_1_1_3_1,1267,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.197321706161132,1.0619584
batch3,97,3707764736_2_1_1_4_1,1115,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.187436690604374,1.0643547
batch3,98,3707764736_2_1_1_5_1,1048,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.238484976122217,1.0737818
batch3,99,3707764736_2_1_1_6_1,828,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.199567210802053,1.0531315
batch3,100,3707764736_2_1_1_7_1,667,3.7C(31%)-5.9C-newstructure,3.7,31.0,5.9,10.838272382382346,1.0630716
batch3,101,3707764736_2_1_1_8_1,1836,4.8C(80%)-4.8C-newstructure,4.8,80.0,4.8,11.172683185286136,1.0689943
batch3,102,3707764736_2_1_1_9_1,828,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.182849490125035,1.0665767
batch3,103,3707764736_2_1_1_10_1,1039,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.203806061335941,1.0714244
batch3,104,3707764736_2_1_1_11_1,1078,4.8C(80%)-4.8C-newstructure,4.8,80.0,4.8,11.210842019498672,1.0632553
batch3,105,3707764736_2_1_1_12_1,817,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.29593457720591,1.0695097
batch3,106,3707764736_2_1_1_13_1,932,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.25443094701029,1.0758239
batch3,107,3707764736_2_1_1_14_1,816,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.288013578732093,1.0675212
batch3,108,3707764736_2_1_1_15_1,858,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.248563267211155,1.0753649
batch3,109,3707764736_2_1_1_16_1,876,5.9C(15%)-4.6C-newstructure,5.9,15.0,4.6,10.317950719999931,1.0701469
batch3,110,3707764736_2_1_1_17_1,1638,4.8C(80%)-4.8C-newstructure,4.8,80.0,4.8,11.142331425371651,1.062538
batch3,111,3707764736_2_1_1_18_1,1315,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.156982147387042,1.0681428
batch3,112,3707764736_2_1_1_19_1,1146,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.219875771470129,1.0693455
batch3,113,3707764736_2_1_1_20_1,1155,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.20566603841708,1.0733607
batch3,114,3707764736_2_1_1_21_1,813,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.184415133415444,1.0665587
batch3,115,3707764736_2_1_1_22_1,772,3.7C(31%)-5.9C-newstructure,3.7,31.0,5.9,10.803372395157723,1.0682704
batch3,116,3707764736_2_1_1_23_1,1002,5.9C(60%)-3.1C-newstructure,5.9,60.0,3.1,10.136478939393891,1.0577407
batch3,117,3707764736_2_1_1_25_1,825,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.16455426779944,1.0485005
batch3,118,3707764736_2_1_1_26_1,989,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.151654256072879,1.0629901
batch3,119,3707764736_2_1_1_27_1,1028,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.245692367737801,1.0737659
batch3,120,3707764736_2_1_1_28_1,850,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.217366148409878,1.0624913
batch3,121,3707764736_2_1_1_29_1,541,3.7C(31%)-5.9C-newstructure,3.7,31.0,5.9,10.900362280864222,1.0526985
batch3,122,3707764736_2_1_1_30_1,858,5.9C(15%)-4.6C-newstructure,5.9,15.0,4.6,10.263916802800408,1.0684901
batch3,123,3707764736_2_1_1_31_1,935,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.171827748037114,1.0705589
batch3,124,3707764736_2_1_1_32_1,731,5.9C(60%)-3.1C-newstructure,5.9,60.0,3.1,10.176860924657454,1.0699984
batch3,125,3707764736_2_1_1_34_1,1284,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.114409901273168,1.0616887
batch3,126,3707764736_2_1_1_35_1,1158,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.140941643618596,1.0631043
batch3,127,3707764736_2_1_1_36_1,1093,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.225518902625144,1.0644418
batch3,128,3707764736_2_1_1_37_1,923,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.193340726681159,1.0589134
batch3,129,3707764736_2_1_1_38_1,1390,4.8C(80%)-4.8C-newstructure,4.8,80.0,4.8,11.103095782337451,1.0489386
batch3,130,3707764736_2_1_1_39_1,1935,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.126871374526084,1.0715792
batch3,131,3707764736_2_1_1_40_1,1156,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.113528347763417,1.0489986
batch3,132,3707764736_2_1_1_41_1,796,5.6C(19%)-4.6C-newstructure,5.6,19.0,4.6,10.275761475891015,1.0613143
batch3,133,3707764736_2_1_1_42_1,786,5.6C(36%)-4.3C-newstructure,5.6,36.0,4.3,10.244803898089202,1.052555
batch3,134,3707764736_2_1_1_43_1,1642,4.8C(80%)-4.8C-newstructure,4.8,80.0,4.8,11.168866101970318,1.0685903
batch3,135,3707764736_2_1_1_44_1,1046,5C(67%)-4C-newstructure,5.0,67.0,4.0,10.179326197767095,1.0717107
batch3,136,3707764736_2_1_1_45_1,940,5.3C(54%)-4C-newstructure,5.3,54.0,4.0,10.163852495562647,1.0714406
batch3,137,3707764736_2_1_1_46_1,1801,4.8C(80%)-4.8C-newstructure,4.8,80.0,4.8,11.14682434907418,1.0706183
